LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUT,HOUSECOST,RENT,IDX2015,A,1969,8.123075385
AUT,HOUSECOST,RENT,IDX2015,A,1970,9.042763502
AUT,HOUSECOST,RENT,IDX2015,A,1971,10.20224822
AUT,HOUSECOST,RENT,IDX2015,A,1972,11.23821789
AUT,HOUSECOST,RENT,IDX2015,A,1973,12.54124888
AUT,HOUSECOST,RENT,IDX2015,A,1974,13.18886905
AUT,HOUSECOST,RENT,IDX2015,A,1975,14.5792491
AUT,HOUSECOST,RENT,IDX2015,A,1976,17.14914603
AUT,HOUSECOST,RENT,IDX2015,A,1977,18.96404297
AUT,HOUSECOST,RENT,IDX2015,A,1978,19.98777254
AUT,HOUSECOST,RENT,IDX2015,A,1979,20.70160273
AUT,HOUSECOST,RENT,IDX2015,A,1980,21.39317859
AUT,HOUSECOST,RENT,IDX2015,A,1981,22.68953187
AUT,HOUSECOST,RENT,IDX2015,A,1982,25.2928103
AUT,HOUSECOST,RENT,IDX2015,A,1983,28.90813114
AUT,HOUSECOST,RENT,IDX2015,A,1984,31.10525988
AUT,HOUSECOST,RENT,IDX2015,A,1985,33.2845814
AUT,HOUSECOST,RENT,IDX2015,A,1986,34.59261481
AUT,HOUSECOST,RENT,IDX2015,A,1987,35.7738023
AUT,HOUSECOST,RENT,IDX2015,A,1988,36.54883306
AUT,HOUSECOST,RENT,IDX2015,A,1989,37.51636916
AUT,HOUSECOST,RENT,IDX2015,A,1990,39.08200966
AUT,HOUSECOST,RENT,IDX2015,A,1991,40.97312615
AUT,HOUSECOST,RENT,IDX2015,A,1992,43.62814859
AUT,HOUSECOST,RENT,IDX2015,A,1993,45.89704273
AUT,HOUSECOST,RENT,IDX2015,A,1994,48.82079473
AUT,HOUSECOST,RENT,IDX2015,A,1995,52.51345744
AUT,HOUSECOST,RENT,IDX2015,A,1996,55.70092956
AUT,HOUSECOST,RENT,IDX2015,A,1997,57.73457549
AUT,HOUSECOST,RENT,IDX2015,A,1998,59.47905588
AUT,HOUSECOST,RENT,IDX2015,A,1999,60.70065866
AUT,HOUSECOST,RENT,IDX2015,A,2000,61.72810139
AUT,HOUSECOST,RENT,IDX2015,A,2001,63.47191678
AUT,HOUSECOST,RENT,IDX2015,A,2002,64.54701952
AUT,HOUSECOST,RENT,IDX2015,A,2003,67.35564516
AUT,HOUSECOST,RENT,IDX2015,A,2004,69.70131568
AUT,HOUSECOST,RENT,IDX2015,A,2005,72.09048372
AUT,HOUSECOST,RENT,IDX2015,A,2006,73.70664908
AUT,HOUSECOST,RENT,IDX2015,A,2007,75.15458941
AUT,HOUSECOST,RENT,IDX2015,A,2008,76.09784962
AUT,HOUSECOST,RENT,IDX2015,A,2009,79.67263043
AUT,HOUSECOST,RENT,IDX2015,A,2010,82.80883113
AUT,HOUSECOST,RENT,IDX2015,A,2011,85.55647175
AUT,HOUSECOST,RENT,IDX2015,A,2012,89.3258501
AUT,HOUSECOST,RENT,IDX2015,A,2013,92.10109822
AUT,HOUSECOST,RENT,IDX2015,A,2014,95.76001405
AUT,HOUSECOST,RENT,IDX2015,A,2015,100
AUT,HOUSECOST,RENT,IDX2015,A,2016,103.0828482
AUT,HOUSECOST,RENT,IDX2015,A,2017,107.3404742
AUT,HOUSECOST,RENT,IDX2015,A,2018,111.3315
AUT,HOUSECOST,RENT,IDX2015,A,2019,114.6392508
AUT,HOUSECOST,RENT,IDX2015,A,2020,119.3448519
AUT,HOUSECOST,RENT,IDX2015,A,2021,121.7022774
BEL,HOUSECOST,NOMINAL,IDX2015,A,1970,7.735564275
